fueltype,energy2006,energy2007,energy2008,energy2009,energy2010,energy2011,energy2012,energy2013,energy2014,energy2015,energy2016,geography,sector,value,gdp2006,gdp2007,gdp2008,gdp2009,gdp2010,gdp2011,gdp2012,gdp2013,gdp2014,gdp2015,gdp2016,industrycode,lev1,lev2,lev3
Total primary and secondary energy,x,x,x,x,x,x,x,7295,8476,9109,9442,Atlantic provinces,Canadian airlines,Chained (2007) dollars,101.4,116.7,116.1,101,112.6,124.1,126.8,117.2,114.7,125.4,136.2,481,0,0,1
Total primary and secondary energy,x,x,x,x,x,x,x,7295,8476,9109,9442,Atlantic provinces,Canadian airlines,Chained (2007) dollars,25.3,25,24.799999,22.1,24.4,26.9,29.5,27.700001,32.400002,34,35.900002,481,0,0,1
Total primary and secondary energy,x,x,x,x,x,x,x,622,5364,5698,6605,Atlantic provinces,Foreign airlines,,,,,,,,,,,,,,0,0,0
Total primary and secondary energy,23111,26667,19532,22620,25828,23703,17284,12527,11920,11613,12074,Atlantic provinces,Total marine,Chained (2007) dollars,30.4,28.1,26.799999,23,24.4,25.4,28.5,29.200001,32.299999,35.700001,35,483,0,1,0
Total primary and secondary energy,23111,26667,19532,22620,25828,23703,17284,12527,11920,11613,12074,Atlantic provinces,Total marine,Chained (2007) dollars,212.8,239.39999,252.5,232.5,256.10001,244.2,244.7,237,210.5,203.5,186,114,0,1,0
Total primary and secondary energy,23111,26667,19532,22620,25828,23703,17284,12527,11920,11613,12074,Atlantic provinces,Total marine,Chained (2007) dollars,153.6,122.9,119.1,118.8,113.8,116.5,128.7,146.3,161.7,154.39999,161.7,114,0,1,0
Total primary and secondary energy,23111,26667,19532,22620,25828,23703,17284,12527,11920,11613,12074,Atlantic provinces,Total marine,Chained (2007) dollars,178.9,157.7,173.8,145.3,140,144.3,158.2,156.7,160.89999,163.39999,154.5,483,0,1,0
Total primary and secondary energy,23111,26667,19532,22620,25828,23703,17284,12527,11920,11613,12074,Atlantic provinces,Total marine,Chained (2007) dollars,426.5,350.60001,420.79999,401.70001,421.89999,432.89999,437.39999,429.60001,478.60001,458.5,417.29999,114,0,1,0
Total primary and secondary energy,23111,26667,19532,22620,25828,23703,17284,12527,11920,11613,12074,Atlantic provinces,Total marine,Chained (2007) dollars,180.2,158.3,159.7,133.60001,127.2,131.3,135.8,132.2,142.10001,149.60001,149.10001,483,0,1,0
Total primary and secondary energy,23111,26667,19532,22620,25828,23703,17284,12527,11920,11613,12074,Atlantic provinces,Total marine,Chained (2007) dollars,68.6,72.900002,69.900002,71.099998,70.400002,61.5,76,81.099998,77.699997,83.300003,71,114,0,1,0
Total primary and secondary energy,23111,26667,19532,22620,25828,23703,17284,12527,11920,11613,12074,Atlantic provinces,Total marine,Chained (2007) dollars,10.8,10.4,10.2,8.8000002,8.1999998,8.6000004,8.8000002,8.8999996,9.5,9.8999996,10,483,0,1,0
Total primary and secondary energy,x,x,x,x,x,x,x,12195,11406,11218,11707,Atlantic provinces,Domestic marine,Chained (2007) dollars,180.2,158.3,159.7,133.60001,127.2,131.3,135.8,132.2,142.10001,149.60001,149.10001,483,0,0,1
Total primary and secondary energy,x,x,x,x,x,x,x,12195,11406,11218,11707,Atlantic provinces,Domestic marine,Chained (2007) dollars,178.9,157.7,173.8,145.3,140,144.3,158.2,156.7,160.89999,163.39999,154.5,483,0,0,1
Total primary and secondary energy,x,x,x,x,x,x,x,12195,11406,11218,11707,Atlantic provinces,Domestic marine,Chained (2007) dollars,30.4,28.1,26.799999,23,24.4,25.4,28.5,29.200001,32.299999,35.700001,35,483,0,0,1
Total primary and secondary energy,x,x,x,x,x,x,x,12195,11406,11218,11707,Atlantic provinces,Domestic marine,Chained (2007) dollars,426.5,350.60001,420.79999,401.70001,421.89999,432.89999,437.39999,429.60001,478.60001,458.5,417.29999,114,0,0,1
Total primary and secondary energy,x,x,x,x,x,x,x,12195,11406,11218,11707,Atlantic provinces,Domestic marine,Chained (2007) dollars,212.8,239.39999,252.5,232.5,256.10001,244.2,244.7,237,210.5,203.5,186,114,0,0,1
Total primary and secondary energy,x,x,x,x,x,x,x,12195,11406,11218,11707,Atlantic provinces,Domestic marine,Chained (2007) dollars,68.6,72.900002,69.900002,71.099998,70.400002,61.5,76,81.099998,77.699997,83.300003,71,114,0,0,1
Total primary and secondary energy,x,x,x,x,x,x,x,12195,11406,11218,11707,Atlantic provinces,Domestic marine,Chained (2007) dollars,10.8,10.4,10.2,8.8000002,8.1999998,8.6000004,8.8000002,8.8999996,9.5,9.8999996,10,483,0,0,1
Total primary and secondary energy,x,x,x,x,x,x,x,12195,11406,11218,11707,Atlantic provinces,Domestic marine,Chained (2007) dollars,153.6,122.9,119.1,118.8,113.8,116.5,128.7,146.3,161.7,154.39999,161.7,114,0,0,1
Total primary and secondary energy,x,x,x,x,x,x,x,332,514,396,366,Atlantic provinces,Foreign marine,,,,,,,,,,,,,,0,0,0
Total primary and secondary energy,922,1215,1152,1522,1464,57,79,69,176,131,335,Atlantic provinces,Pipelines,Chained (2007) dollars,0.0,0,0,0,0,0,0,0,0,0,0,2212,0,1,0
Total primary and secondary energy,922,1215,1152,1522,1464,57,79,69,176,131,335,Atlantic provinces,Pipelines,Chained (2007) dollars,0.0,0,42.5,35.099998,36.400002,40.400002,43.599998,29.6,28,26.799999,26.9,2212,0,1,0
Total primary and secondary energy,922,1215,1152,1522,1464,57,79,69,176,131,335,Atlantic provinces,Pipelines,Chained (2007) dollars,56.4,55.400002,45.200001,51.5,70.199997,53.5,49.099998,45.200001,69.599998,41.299999,37.200001,486,0,1,0
Total primary and secondary energy,922,1215,1152,1522,1464,57,79,69,176,131,335,Atlantic provinces,Pipelines,Chained (2007) dollars,4.3,4.5,28.200001,16.1,17.5,23.700001,25,21.9,26.4,27.299999,26.5,2212,0,1,0
Total primary and secondary energy,922,1215,1152,1522,1464,57,79,69,176,131,335,Atlantic provinces,Pipelines,Chained (2007) dollars,0.0,0,0,0,0,0,0,0,0,0,0,2212,0,1,0
Total primary and secondary energy,922,1215,1152,1522,1464,57,79,69,176,131,335,Atlantic provinces,Pipelines,Chained (2007) dollars,44.1,40.700001,32.900002,28.299999,23.799999,22.4,20.6,19,30.799999,18.4,16.5,486,0,1,0
Total primary and secondary energy,922,1215,1152,1522,1464,57,79,69,176,131,335,Atlantic provinces,Pipelines,Chained (2007) dollars,0.0,0,0,0,0,0,0,0,0,0,0,486,0,1,0
Total primary and secondary energy,922,1215,1152,1522,1464,57,79,69,176,131,335,Atlantic provinces,Pipelines,Chained (2007) dollars,0.0,0,0,0,0,0,0,0,0,0,0,486,0,1,0
Total primary and secondary energy,19214,19052,17985,18279,20551,22096,19506,16364,17025,17145,17991,Atlantic provinces,Road transport and urban transit,Chained (2007) dollars,191.2,193.7,199.89999,195.89999,206.3,220.5,198.89999,191.89999,199.7,214.3,224.5,488,0,1,0
Total primary and secondary energy,19214,19052,17985,18279,20551,22096,19506,16364,17025,17145,17991,Atlantic provinces,Road transport and urban transit,Chained (2007) dollars,138.6,140.60001,154,143.39999,152.3,152.2,151.8,154.2,163.5,179.39999,187.8,488,0,1,0
Total primary and secondary energy,19214,19052,17985,18279,20551,22096,19506,16364,17025,17145,17991,Atlantic provinces,Road transport and urban transit,Chained (2007) dollars,20.0,20.4,20.6,21.799999,19.200001,19.299999,19.700001,19.799999,21.299999,22.299999,23.9,488,0,1,0
Total primary and secondary energy,19214,19052,17985,18279,20551,22096,19506,16364,17025,17145,17991,Atlantic provinces,Road transport and urban transit,Chained (2007) dollars,178.8,186.89999,187.8,179.89999,184.7,188.3,199.5,208.5,221.3,227.2,233.7,488,0,1,0
Total primary and secondary energy,123355,125635,130254,121022,125089,148538,141771,126012,124413,138338,143608,Atlantic provinces,Retail pump sales,Chained (2007) dollars,..,95.699997,88.300003,97.5,104.7,103.5,112.6,122.3,132,129.10001,135.60001,447,0,1,0
Total primary and secondary energy,123355,125635,130254,121022,125089,148538,141771,126012,124413,138338,143608,Atlantic provinces,Retail pump sales,Chained (2007) dollars,..,13.1,12.6,12.7,14,15.1,15.5,16,15.7,16.1,17.200001,447,0,1,0
Total primary and secondary energy,123355,125635,130254,121022,125089,148538,141771,126012,124413,138338,143608,Atlantic provinces,Retail pump sales,Chained (2007) dollars,..,111.3,119,124.8,158.7,143.5,146.89999,161.10001,151.39999,156.5,152.39999,447,0,1,0
Total primary and secondary energy,123355,125635,130254,121022,125089,148538,141771,126012,124413,138338,143608,Atlantic provinces,Retail pump sales,Chained (2007) dollars,..,141.8,158.5,140,166.3,151.60001,173.39999,177.39999,166.2,160.7,170.3,447,0,1,0
Total primary and secondary energy,8036,8781,8349,8617,11639,12541,10213,8768,6089,6099,6517,Atlantic provinces,Agriculture,Chained (2007) dollars,45.8,43.799999,47.5,60.099998,77.199997,76.400002,80.599998,86.400002,52.799999,82.5,94.199997,112,1,0,0
Total primary and secondary energy,8036,8781,8349,8617,11639,12541,10213,8768,6089,6099,6517,Atlantic provinces,Agriculture,Chained (2007) dollars,120.1,102.6,105.3,114.9,129.89999,118.7,141.8,148.89999,155,173.89999,179.60001,111,1,0,0
Total primary and secondary energy,8036,8781,8349,8617,11639,12541,10213,8768,6089,6099,6517,Atlantic provinces,Agriculture,Chained (2007) dollars,10.6,11,10.5,11.8,12.1,11.7,11,11,9.6000004,12.3,10.9,111,1,0,0
Total primary and secondary energy,8036,8781,8349,8617,11639,12541,10213,8768,6089,6099,6517,Atlantic provinces,Agriculture,Chained (2007) dollars,71.8,60.700001,69.800003,73.099998,72.800003,71.599998,76.699997,83.699997,85.5,93.699997,91.400002,111,1,0,0
Total primary and secondary energy,8036,8781,8349,8617,11639,12541,10213,8768,6089,6099,6517,Atlantic provinces,Agriculture,Chained (2007) dollars,62.8,59.099998,58.700001,66.599998,71.900002,70.699997,76.400002,71.099998,68.599998,67.400002,71.5,112,1,0,0
Total primary and secondary energy,8036,8781,8349,8617,11639,12541,10213,8768,6089,6099,6517,Atlantic provinces,Agriculture,Chained (2007) dollars,..,22.799999,23.1,20.1,20.700001,21.5,19.6,23.6,24.1,28.4,25.5,115A,1,0,0
Total primary and secondary energy,8036,8781,8349,8617,11639,12541,10213,8768,6089,6099,6517,Atlantic provinces,Agriculture,Chained (2007) dollars,132.6,121.7,110.1,111,120.4,113.1,113.1,115.5,117.7,117.2,121.4,111,1,0,0
Total primary and secondary energy,8036,8781,8349,8617,11639,12541,10213,8768,6089,6099,6517,Atlantic provinces,Agriculture,Chained (2007) dollars,..,11.1,10.9,9.6000004,8.5,11,12,14.1,15.3,16.299999,15.7,115A,1,0,0
Total primary and secondary energy,8036,8781,8349,8617,11639,12541,10213,8768,6089,6099,6517,Atlantic provinces,Agriculture,Chained (2007) dollars,135.0,116.4,111.2,160.39999,174,149.60001,148.8,126.3,123.6,138.60001,151.3,112,1,0,0
Total primary and secondary energy,8036,8781,8349,8617,11639,12541,10213,8768,6089,6099,6517,Atlantic provinces,Agriculture,Chained (2007) dollars,..,9.6999998,10,8.6999998,12.1,12.7,12.7,13.7,11.9,13.9,12.2,115A,1,0,0
Total primary and secondary energy,8036,8781,8349,8617,11639,12541,10213,8768,6089,6099,6517,Atlantic provinces,Agriculture,Chained (2007) dollars,..,6.5999999,7.3000002,6.5,8.6999998,8.5,7.6999998,8.8000002,10.7,12.5,12,115A,1,0,0
Total primary and secondary energy,8036,8781,8349,8617,11639,12541,10213,8768,6089,6099,6517,Atlantic provinces,Agriculture,Chained (2007) dollars,153.9,163,158,168.2,171.89999,167.89999,179.3,176,151.89999,162.10001,160,112,1,0,0
Total primary and secondary energy,82091,91843,92884,92435,91351,99930,91627,85780,86192,87042,82524,Atlantic provinces,Residential,Chained (2007) dollars,324.1,329.20001,344.60001,358.20001,349.79999,353.20001,372.39999,387.60001,419.79999,424.5,418,5311,1,0,0
Total primary and secondary energy,82091,91843,92884,92435,91351,99930,91627,85780,86192,87042,82524,Atlantic provinces,Residential,Chained (2007) dollars,873.1,889.09998,922.40002,956.59998,1007.3,1032.3,1083.8,1114.4,1129.2,1134.1,1130.1,5311,1,0,0
Total primary and secondary energy,82091,91843,92884,92435,91351,99930,91627,85780,86192,87042,82524,Atlantic provinces,Residential,Chained (2007) dollars,530.7,543.09998,562.5,586.59998,598.09998,619.70001,645.40002,659,671.29999,680.90002,716.40002,5311,1,0,0
Total primary and secondary energy,82091,91843,92884,92435,91351,99930,91627,85780,86192,87042,82524,Atlantic provinces,Residential,Chained (2007) dollars,94.1,94.099998,97.599998,101,101.5,103.7,108.4,111.6,115.8,119.3,122.1,5311,1,0,0
Total primary and secondary energy,21172,23711,21341,20054,22081,24329,18729,14355,14831,17080,16447,Atlantic provinces,Public administration,Chained (2007) dollars,557.2,564.79999,587,602.20001,617.20001,626.20001,621.20001,617.79999,602.09998,600.90002,615.59998,91,1,0,0
Total primary and secondary energy,21172,23711,21341,20054,22081,24329,18729,14355,14831,17080,16447,Atlantic provinces,Public administration,Chained (2007) dollars,3683.1,3684.6001,3735.7,3864.6001,3943.3999,4035.8999,3978,3886.2,3860.3,3884.8999,3887.2,91,1,0,0
Total primary and secondary energy,21172,23711,21341,20054,22081,24329,18729,14355,14831,17080,16447,Atlantic provinces,Public administration,Chained (2007) dollars,1503.6,1528.9,1589.2,1652.1,1672.8,1708.4,1706.2,1691.3,1676.9,1695.1,1727.4,91,1,0,0
Total primary and secondary energy,21172,23711,21341,20054,22081,24329,18729,14355,14831,17080,16447,Atlantic provinces,Public administration,Chained (2007) dollars,2574.0,2624.6001,2696.5,2838.5,2920.3,2945.3999,2932.2,2890.8999,2860.1001,2879.7,2898.2,91,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,2009.6,2038.3,2088.3,2134.2,2169,2218.8999,2221.1001,2215.1001,2234.1001,2264,2252.3999,61,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,503.8,509.20001,537,512.70001,517.70001,548.59998,574,565.40002,602.59998,578.09998,562.70001,54,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,55.6,56.599998,55.400002,56.599998,59.299999,59.900002,61.099998,60.900002,59.900002,59.799999,64.400002,71,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,134.9,130.8,131.7,129.10001,128.2,129.5,131.39999,139.60001,144,146.10001,150.60001,72,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,1341.4,1303,1312.3,1285.6,1288.1,1322,1352.7,1355.3,1366.4,1403.4,1449.4,52,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,985.0,1017.3,1017.1,1051.3,1011.2,973,972.79999,936.09998,961.40002,964.5,937.90002,56,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,284.5,289.70001,295.89999,307.29999,321.39999,333.20001,334.10001,334.39999,332.60001,336.79999,340.20001,61,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,..,84.599998,73,71.599998,82.199997,73.900002,75,72.800003,65.599998,67,70.800003,453,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,48.9,46.200001,47,49.700001,49,49.099998,45.400002,47.099998,47.200001,44.799999,43.099998,49A,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,439.1,482.70001,507.10001,475.60001,533.40002,645.79999,690.79999,735.79999,741.40002,728.59998,639.70001,41,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,..,144.10001,148.7,148.3,157.39999,161.10001,162.5,134.2,120.4,120.3,120.2,532,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,768.1,785.90002,804.40002,782.70001,799.09998,829.29999,845.79999,857.29999,849.20001,870.09998,903.59998,52,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,106.2,103.9,107.8,83.099998,82,82.099998,71.800003,73.800003,72.699997,68.800003,64.5,49A,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,133.5,129,135.2,139.7,136.10001,150.60001,147.5,152.2,140.7,152,144.10001,55,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,134.1,133.60001,133.7,127.2,129.60001,129.8,130.2,130.5,133.2,132.10001,133.2,51,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,..,66.5,73.300003,68.900002,61.400002,55.5,57.599998,63,66.199997,67,76.099998,453,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,54.4,65.400002,55.200001,51.400002,49.599998,47.799999,47.400002,44.700001,39.599998,40.599998,38.700001,531A,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,2149.4,2196.7,2276.6001,2331.5,2382.5,2362.6001,2332.1001,2314.3,2306.8,2327.3,2372.3999,62,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,474.0,491.20001,506.39999,505.79999,496.20001,509.79999,517.5,530.70001,531.09998,526.40002,533.79999,81,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,..,17.200001,16.700001,20.1,21.299999,20.6,26.5,24.9,25.4,29.6,31,454,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,912.4,933.59998,847.20001,776.09998,752.79999,748.90002,699.79999,887.09998,988.70001,935.70001,944.79999,2211,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,527.2,519.20001,530.09998,557.09998,551.09998,550.79999,544.29999,529.79999,539.90002,548.90002,569.90002,72,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,..,213,220.89999,234.2,230.2,233.8,222.89999,219.3,219.89999,216.10001,221.8,452,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,1464.2,1480.6,1516.3,1550,1552.6,1558.1,1564.8,1563.1,1570.2,1582,1588.1,61,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,1104.0,1098.1,1085.2,1069.2,1086,1062.2,1084.5,1080.2,1083.8,1071.1,1050.3,51,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,636.1,640,660.09998,660.29999,634,657,645,653.09998,660.09998,651.70001,649.40002,81,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,228.8,236.89999,236.10001,232.2,231.3,233.10001,236.2,242.39999,243.89999,250.60001,258.89999,52,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,133.8,139.3,134.89999,128.89999,136.7,141.60001,143.3,142.10001,134,137.60001,139.5,71,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,..,24.700001,25.6,25.9,28.200001,27.799999,29.299999,31.1,31.200001,35.5,33.700001,451,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,..,69.400002,64.5,73.300003,80.599998,76.599998,77,89.300003,92.400002,100.3,101.2,454,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,..,64.199997,65.800003,57.599998,59.299999,68.900002,70.099998,101.1,135.39999,134,140,532,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,34.0,31.299999,35.799999,36.5,37.799999,35.099998,34.900002,33.5,31,31,30.1,55,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,99.9,102.3,104,101.9,103.2,103.8,107.3,102.9,104.3,102.6,105.4,81,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,..,37.599998,40.299999,39.599998,39.099998,40.200001,42.700001,40.299999,45.799999,49.900002,53.400002,451,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,59.8,55.299999,59.599998,65.800003,73.099998,77.800003,76.699997,72.400002,78.699997,81.199997,82.900002,2211,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,765.4,788.90002,848.09998,813.20001,816.90002,856,867.09998,835.5,843.70001,873.70001,888.20001,54,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,..,40,38.299999,35.5,34.400002,37.700001,38.799999,37.099998,30.200001,40.599998,45.200001,454,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,354.8,354.20001,373.10001,376.60001,397.70001,402,417.10001,434.60001,437.60001,440.60001,440.79999,81,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,15.0,16.1,13.6,14.7,15.1,14.7,15.7,15.3,14.1,16.5,20.700001,531A,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,136.0,133.5,145.10001,149.89999,136.5,140,142.10001,141.8,130.8,124.9,117.4,55,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,1498.1,1447.6,1399.3,1289.9,1279.7,1221.5,1120.4,1167.3,1108.1,1174.8,1199.1,41,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,77.7,93.199997,77.599998,87.699997,88.900002,82.900002,83.099998,74.599998,77.400002,81.199997,90.900002,531A,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,565.3,639.09998,620.40002,557.29999,583.09998,563.20001,487.20001,518.70001,516.70001,503.39999,494.20001,2211,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,339.4,350.5,351.60001,367.5,377.39999,398.10001,410.29999,430.5,446.79999,451.79999,452.39999,72,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,..,294.10001,287.29999,300.70001,290.70001,289.29999,273,269.70001,260.20001,257.20001,263.39999,452,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,1609.1,1622.3,1671.1,1732.7,1797.5,1849.7,1850,1808.3,1803.7,1831.8,1851.1,62,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,..,17.4,15.6,12.4,12.7,14.7,10.9,11.2,11.1,12.1,12,533,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,527.2,520.09998,538.09998,486,545.09998,553.90002,548.79999,528,520.59998,560.90002,565.5,2211,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,..,204.7,224,217.39999,222.10001,215.7,203.60001,239.7,242.39999,242.89999,228.60001,452,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,90.8,97.400002,102,106.2,97.900002,106.1,114.3,111,102,110,103,55,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,..,13.5,12.5,12.2,11.8,10.9,18,16.1,16,17.4,18.799999,533,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,25.1,27.4,26.299999,28.4,28.1,27.9,25.799999,25.200001,24.700001,23.4,21.6,49A,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,..,44.799999,50.599998,49.5,50.700001,49.700001,49.700001,55.099998,59.799999,60.799999,61.700001,451,1,0,0
Total primary and secondary energy,53015,60685,57222,48766,40932,52877,53521,50575,55100,57974,58419,Atlantic provinces,Commercial and other institutional,Chained (2007) dollars,..,.2,.2,.2,.2,.2,.2,0,0,0,0,533,1,0,0
